tweet_id,retweet_count,favorite_count
874434818259525634,12551,0
874296783580663808,3577,23536
874057562936811520,3466,20582
874012996292530176,8804,30813
873580283840344065,3415,21916
873337748698140672,1360,0
873213775632977920,1360,6465
872967104147763200,4673,24614
872820683541237760,3238,13361
872620804844003328,3145,18779
872486979161796608,7913,36917
872122724285648897,7032,30960
871879754684805121,9482,33875
871762521631449091,3041,18306
871515927908634625,3020,18287
871166179821445120,5005,0
871102520638267392,4814,18968
871032628920680449,3308,20612
870804317367881728,5401,30493
870726314365509632,3,109
870656317836468226,2265,11134
870374049280663552,23347,75649
870308999962521604,3635,19917
870063196459192321,7252,33134
869772420881756160,8907,38777
869702957897576449,5510,25599
869596645499047938,2704,14526
869227993411051520,3288,18551
868880397819494401,12599,59311
868639477480148993,1797,0
868622495443632128,4608,24180
868552278524837888,1797,9184
867900495410671616,3665,22063
867774946302451713,6417,30920
867421006826221569,2180,14652
867072653475098625,106,0
867051520902168576,6948,29347
866720684873056260,4225,18232
866686824827068416,3037,17527
866450705531457537,31086,111357
866334964761202691,12551,47685
866094527597207552,7359,0
865718153858494464,4982,23486
865359393868664832,4407,24146
865006731092295680,6824,25621
864873206498414592,7678,29452
864279568663928832,2645,13355
864197398364647424,7783,27294
863907417377173506,3678,18884
863553081350529029,3725,13964
863471782782697472,2137,0
863432100342583297,4672,21824
863427515083354112,82,2004
863079547188785154,987,8060
863062471531167744,2137,7706
862831371563274240,4574,17586
862722525377298433,3168,15682
862457590147678208,4358,18690
862096992088072192,20535,67874
861383897657036800,9535,33068
861288531465048066,3681,15734
861005113778896900,3411,15351
860981674716409858,1901,0
860924035999428608,696,0
860563773140209665,1901,6882
860524505164394496,4731,21759
860276583193509888,3145,16979
860184849394610176,5233,15322
860177593139703809,27547,0
859924526012018688,3677,18070
859851578198683649,3158,14280
859607811541651456,1387,17213
859196978902773760,26998,82547
859074603037188101,12269,31131
858860390427611136,7285,0
858843525470990336,3109,14438
858471635011153920,4384,19950
858107933456039936,2597,14584
857989990357356544,2318,14843
857746408056729600,9586,31562
857393404942143489,1473,5435
857263160327368704,4078,18645
857214891891077121,16,207
857062103051644929,152,0
857029823797047296,3588,17455
856543823941562368,2616,15203
856526610513747968,1704,11072
856288084350160898,15,496
856282028240666624,5718,25824
855862651834028034,22,311
855860136149123072,876,4537
855857698524602368,1906,11083
855851453814013952,16519,42847
855818117272018944,4945,24811
855459453768019968,7482,27727
855245323840757760,5415,0
855138241867124737,39,0
854732716440526848,5524,21219
854482394044301312,6195,27234
854365224396361728,4272,17613
854120357044912130,6799,29881
854010172552949760,2879,15196
853760880890318849,5265,26725
853639147608842240,9121,32342
853299958564483072,3251,14503
852936405516943360,1830,0
852912242202992640,1655,8452
852672615818899456,1990,13998
852553447878664193,3204,15265
852311364735569921,9118,31079
852226086759018497,6263,18755
852189679701164033,1457,10794
851861385021730816,19,0
851591660324737024,3216,15320
851464819735769094,6502,22828
851224888060895234,5304,19496
850753642995093505,8336,28880
850380195714523136,2399,12362
850333567704068097,306,3268
850145622816686080,3489,15383
850019790995546112,4500,19238
849776966551130114,7013,28624
849668094696017920,4586,0
849412302885593088,2913,15009
849336543269576704,1737,10803
849051919805034497,7851,39985
848690551926992896,4015,23859
848324959059550208,4286,23395
848213670039564288,669,7735
848212111729840128,2802,15419
847978865427394560,3020,0
847971574464610304,410,0
847962785489326080,4715,22275
847842811428974592,1219,5133
847617282490613760,382,6639
847606175596138505,3173,17797
847251039262605312,4030,19457
847157206088847362,5399,18814
847116187444137987,2955,20352
846874817362120707,3649,19061
846514051647705089,10715,42206
846505985330044928,2849,13405
846153765933735936,8425,29879
846139713627017216,9413,29471
846042936437604353,2663,15175
845812042753855489,8083,27745
845677943972139009,4499,23979
845397057150107648,1659,7273
845306882940190720,5017,22157
845098359547420673,7136,0
844979544864018432,2373,12967
844973813909606400,2949,14289
844580511645339650,2894,15645
844223788422217728,2043,13017
843981021012017153,2770,14462
843856843873095681,4301,20446
843604394117681152,2556,16100
843235543001513987,5583,20478
842846295480000512,3408,14581
842765311967449089,1195,6432
842535590457499648,3280,17317
842163532590374912,5415,23321
842115215311396866,2837,13328
841833993020538882,14010,0
841680585030541313,7355,24622
841439858740625411,3419,12038
841320156043304961,5171,18898
841314665196081154,4353,15111
841077006473256960,5005,21845
840761248237133825,1653,0
840728873075638272,15030,0
840698636975636481,2,170
840696689258311684,907,11748
840632337062862849,1653,8615
840370681858686976,4285,15719
840268004936019968,5381,18374
839990271299457024,2126,12847
839549326359670784,7285,26201
839290600511926273,137,0
839239871831150596,6099,25872
838952994649550848,3761,18822
838921590096166913,1918,10664
838916489579200512,31,0
838831947270979586,10354,0
838561493054533637,1257,10506
838476387338051585,4468,21513
838201503651401729,9450,0
838150277551247360,313,1598
838085839343206401,1,134
838083903487373313,2921,16898
837820167694528512,7359,32611
837482249356513284,418,3702
837471256429613056,2123,12282
837110210464448512,2233,15424
836989968035819520,2172,12247
836753516572119041,4368,18562
836677758902222849,2087,12125
836648853927522308,521,0
836397794269200385,25872,0
836380477523124226,2821,14199
836260088725786625,4094,20449
836001077879255040,4017,18333
835685285446955009,7665,0
835574547218894849,3397,17075
835536468978302976,1588,0
835309094223372289,19744,0
835297930240217089,2828,15825
835264098648616962,1588,7411
835246439529840640,67,2023
835172783151792128,5420,25146
835152434251116546,2834,21479
834931633769889797,1523,10352
834786237630337024,5225,20663
834574053763584002,2370,13103
834477809192075265,10059,0
834458053273591808,1583,9242
834209720923721728,4470,19720
834167344700198914,3469,15210
834089966724603904,2019,9650
834086379323871233,2086,12540
833863086058651648,2268,12933
833826103416520705,3569,17463
833732339549220864,209,0
833722901757046785,3073,20115
833479644947025920,1935,14332
833124694597443584,4586,19456
832998151111966721,2075,12738
832769181346996225,38,0
832757312314028032,3420,16229
832682457690300417,2752,11421
832645525019123713,502,2814
832636094638288896,2634,15281
832397543355072512,2094,11516
832369877331693569,3020,16512
832273440279240704,2216,10916
832215909146226688,5890,0
832215726631055365,8823,0
832088576586297345,2,61
832040443403784192,9090,0
832032802820481025,4420,17174
831939777352105988,5816,23061
831926988323639298,34,324
831911600680497154,6153,26485
831670449226514432,1726,10034
831650051525054464,1830,6856
